Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Thamnophilus caerulescens),4,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Herpsilochmus atricapillus),3,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Conopophaga roberti),5,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Sclerurus scansor),8,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,Sclerurus cearensis (formerly subspecies of Sclerurus scansor)
 (Synallaxis scutata),3,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Chiroxiphia pareola),6,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Myiobius atricaudus),4,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Platyrinchus mystaceus),3,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Hemitriccus mirandae),2,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Todirostrum cinereum),2,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Tolmomyias flaviventris),2,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Megarynchus pitangua),2,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Empidonomus varius),1,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Tyrannus melancholicus),1,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Progne tapera),1,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Pheugopedius genibarbis),3,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Turdus leucomelas),5,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Euphonia chlorotica),2,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Arremon taciturnus),8,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,"Several birds observed during that period, including falling in mistnet."
 (Thraupis palmarum),3,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Stilpnia cayana),2,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
 (Dacnis cayana),1,Ipê Park,Stationary,"Apr 14, 2022",5:30 AM,4 hour(s),,,,4,true,22 species,
