Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Pitangus sulphuratus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Megarynchus pitangua),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Myiozetetes similis),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Myiodynastes maculatus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Empidonomus varius),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Tyrannus melancholicus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Cyclarhis gujanensis),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Vireo chivi),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Troglodytes aedon),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Pheugopedius genibarbis),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Turdus leucomelas),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Turdus rufiventris),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Turdus amaurochalinus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,Com bico amarelo
 (Euphonia chlorotica),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Euphonia violacea),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Arremon taciturnus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Icterus pyrrhopterus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Setophaga pitiayumi),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Basileuterus culicivorus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Thraupis sayaca),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Thraupis palmarum),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Stilpnia cayana),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Tangara cyanocephala),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Dacnis cayana),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Coereba flaveola),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
