Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Penelope jacucaca),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Tapera naevia),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Piaya cayana),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Glaucis hirsutus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Phaethornis pretrei),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Chlorostilbon lucidus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Coragyps atratus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Galbula ruficauda),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Selenidera gouldii),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Picumnus limae),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Celeus ochraceus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Herpetotheres cachinnans),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Brotogeris chiriri),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Pyrrhura griseipectus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Thamnophilus caerulescens),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Dysithamnus mentalis),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Herpsilochmus atricapillus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Formicivora grisea),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Conopophaga cearae),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Chamaeza campanisona),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Sclerurus scansor cearensis),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Cranioleuca semicinerea),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Pipra fasciicauda),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Platyrinchus mystaceus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Hemitriccus mirandae),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Tolmomyias flaviventris),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Hirundinea ferruginea),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Nesotriccus murina),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Phyllomyias fasciatus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Zimmerius acer),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Myiophobus fasciatus),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Lathrotriccus euleri),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
 (Myiarchus ferox),X,RPPN Sítio Lagoa,Traveling,"Dec 20, 2022",6:13 AM,"3 hour(s), 54 minute(s)",2.7 kilometer(s),,,1,true,58 species,
