Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Egretta thula),5,Chapada do Araripe,Traveling,"Mar 13, 2022",5:00 PM,30 minute(s),0.5 mile(s),,,4,true,6 species,
 (Bubulcus ibis),1,Chapada do Araripe,Traveling,"Mar 13, 2022",5:00 PM,30 minute(s),0.5 mile(s),,,4,true,6 species,
 (Thamnophilus pelzelni),2,Chapada do Araripe,Traveling,"Mar 13, 2022",5:00 PM,30 minute(s),0.5 mile(s),,,4,true,6 species,
 (Sittasomus griseicapillus),1,Chapada do Araripe,Traveling,"Mar 13, 2022",5:00 PM,30 minute(s),0.5 mile(s),,,4,true,6 species,
 (Todirostrum cinereum),3,Chapada do Araripe,Traveling,"Mar 13, 2022",5:00 PM,30 minute(s),0.5 mile(s),,,4,true,6 species,
 (Legatus leucophaius),5,Chapada do Araripe,Traveling,"Mar 13, 2022",5:00 PM,30 minute(s),0.5 mile(s),,,4,true,6 species,
