Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
 (Thamnophilus caerulescens),5,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Herpsilochmus atricapillus),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Conopophaga roberti),6,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Sclerurus scansor),5,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,Sclerurus cearensis (former subspecies of S. scansor)
 (Sittasomus griseicapillus),1,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Synallaxis scutata),4,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Synallaxis frontalis),1,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Chiroxiphia pareola),7,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Myiobius atricaudus),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Platyrinchus mystaceus),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Hemitriccus mirandae),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Todirostrum cinereum),1,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Tolmomyias flaviventris),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Megarynchus pitangua),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Tyrannus melancholicus),3,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Cyclarhis gujanensis),1,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Progne tapera),1,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Polioptila plumbea),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Pheugopedius genibarbis),4,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Turdus leucomelas),4,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Estrilda astrild),3,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Euphonia chlorotica),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Arremon taciturnus),6,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Thraupis palmarum),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Stilpnia cayana),2,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Volatinia jacarina),3,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
 (Sporophila nigricollis),1,Horto Florestal de Ubajara--sede,Stationary,"Apr 6, 2022",5:30 AM,5 hour(s),,,,4,true,27 species,
